MATERIAL_NAME,POLYMER_TYPE,SHELF_LIFE_IN_MONTH,DOWNGRADE_VALUE_LOST_PERCENT,AVERAGE_PRICE_MT,DOWNGRADE_VALUE_AVG_MT
MAT-0108,P-001,5,20,4510.002453019115,902.000490603823
MAT-0109,P-001,8,10,0.0,0.0
MAT-0110,P-001,6,25,0.0,0.0
MAT-0111,P-001,2,30,5980.01253773915,1794.0037613217448
MAT-0112,P-001,6,20,4560.0,912.0
MAT-0113,P-001,2,15,2680.0,402.0
MAT-0114,P-002,7,40,3960.0,1584.0
MAT-0115,P-001,7,30,2960.0,888.0
MAT-0116,P-001,5,25,2039.9999999999995,509.99999999999983
MAT-0117,P-002,3,40,9746.612517916865,3898.645007166746
MAT-0118,P-001,2,15,4562.3135464231345,684.3470319634703
MAT-0119,P-001,8,10,6429.818181818182,642.9818181818182
MAT-0120,P-001,8,5,4510.0004941416,225.50002470708
MAT-0121,P-001,8,20,0.0,0.0
MAT-0122,P-001,2,20,0.0,0.0
MAT-0123,P-002,6,35,0.0,0.0
MAT-0124,P-002,10,30,0.0,0.0
MAT-0125,P-002,8,30,0.0,0.0
MAT-0126,P-001,4,15,0.0,0.0
MAT-0127,P-001,4,20,0.0,0.0
MAT-0128,P-001,3,10,0.0,0.0
MAT-0129,P-002,9,25,5980.004655453836,1495.0011638634592
MAT-0130,P-002,8,30,0.0,0.0
MAT-0131,P-001,5,5,0.0,0.0
MAT-0132,P-002,9,35,0.0,0.0
MAT-0133,P-001,6,20,3030.020202020202,606.0040404040403
MAT-0134,P-001,8,30,3030.0025127323706,909.0007538197112
MAT-0135,P-001,3,20,0.0,0.0
MAT-0136,P-001,6,25,0.0,0.0
MAT-0137,P-001,8,15,4510.104459240775,676.5156688861164
MAT-0138,P-001,2,10,2230.010537407798,223.00105374077978
MAT-0139,P-002,4,40,0.0,0.0
MAT-0140,P-001,4,20,0.0,0.0
MAT-0141,P-001,2,25,3740.0,935.0
MAT-0142,P-002,6,35,10620.013351557818,3717.0046730452364
MAT-0143,P-002,3,20,10620.00045102735,2124.00009020547
MAT-0144,P-002,5,25,10620.00098516652,2655.0002462916295
MAT-0145,P-002,6,30,10750.00590210993,3225.001770632979
MAT-0146,P-001,5,30,4560.0,1368.0
MAT-0147,P-002,4,40,500.0009701673539,200.00038806694155
MAT-0148,P-001,2,15,4029.978503088054,604.4967754632081
MAT-0149,P-001,8,20,6290.0,1258.0
MAT-0150,P-002,6,35,3960.0,1386.0
MAT-0151,P-001,6,10,4511.0097218900155,451.10097218900154
MAT-0152,P-002,7,50,3740.0,1870.0
MAT-0153,P-001,4,30,7590.00212865404,2277.000638596212
MAT-0154,P-001,8,20,330.16383331682476,66.03276666336495
MAT-0155,P-002,5,20,0.0,0.0
MAT-0156,P-001,8,20,7589.94407472664,1517.9888149453282
MAT-0157,P-002,7,45,3960.0,1782.0
MAT-0158,P-002,8,20,7120.0,1424.0
MAT-0159,P-002,4,25,14960.0,3740.0
MAT-0160,P-002,5,25,9702.333900507703,2425.583475126926
MAT-0161,P-001,7,5,4300.0,215.0
MAT-0162,P-001,3,25,0.0,0.0
MAT-0163,P-001,2,25,7590.002367401358,1897.5005918503396
MAT-0164,P-001,2,5,7589.989898989898,379.49949494949493
MAT-0165,P-001,5,10,2040.0,204.0
MAT-0166,P-002,4,30,12575.882911955892,3772.764873586768
MAT-0167,P-001,8,10,3030.012585331824,303.0012585331824
MAT-0168,P-002,8,20,3960.0,792.0
MAT-0169,P-002,4,25,7060.0,1765.0
MAT-0170,P-002,8,30,7060.0,2118.0
MAT-0171,P-001,6,5,0.0,0.0
MAT-0172,P-001,6,10,0.0,0.0
MAT-0173,P-001,7,10,0.0,0.0
MAT-0174,P-001,5,10,4560.0,456.0
MAT-0175,P-001,5,20,2680.0,536.0
MAT-0176,P-002,6,30,12720.0,3816.0
MAT-0177,P-001,4,10,3140.0,314.0
MAT-0178,P-002,11,20,3960.0,792.0
MAT-0179,P-001,6,30,3141.439947992849,942.4319843978546
MAT-0180,P-001,4,5,2800.0,140.0
MAT-0181,P-001,3,10,0.0,0.0
MAT-0182,P-001,2,10,0.0,0.0
MAT-0183,P-002,6,35,0.0,0.0
MAT-0184,P-001,8,30,0.0,0.0
MAT-0185,P-002,12,30,5100.0,1530.0
MAT-0186,P-002,6,20,0.0,0.0
MAT-0187,P-002,5,30,0.0,0.0
MAT-0188,P-001,4,10,6430.013650461927,643.0013650461926
MAT-0189,P-002,10,40,3960.0,1584.0
MAT-0190,P-001,3,15,2530.012625604627,379.50189384069404
MAT-0191,P-002,10,20,0.0,0.0
MAT-0192,P-001,2,5,0.0,0.0
MAT-0193,P-001,4,5,5860.0172434009055,293.0008621700453
MAT-0194,P-001,2,25,3146.6666666666665,786.6666666666665
MAT-0195,P-001,7,5,3238.980130315806,161.9490065157903
MAT-0196,P-002,4,35,8530.237192862394,2985.583017501838
MAT-0197,P-002,9,40,5114.988505747127,2045.9954022988509
MAT-0198,P-001,6,5,3921.5050258768733,196.07525129384368
MAT-0199,P-002,3,35,14350.451420081308,5022.657997028458
MAT-0200,P-001,8,25,3740.0,935.0
MAT-0201,P-002,4,35,10620.044318354754,3717.015511424164
MAT-0202,P-001,6,30,3374.134253296809,1012.2402759890427
MAT-0203,P-002,12,25,2669.939393939394,667.4848484848485
MAT-0204,P-002,8,35,3740.0,1309.0
MAT-0205,P-001,2,15,0.0,0.0
MAT-0206,P-002,4,30,14603.334584112385,4381.000375233715
MAT-0207,P-001,4,15,2040.0,306.0
MAT-0208,P-001,6,5,6860.363636363636,343.01818181818174
MAT-0209,P-001,8,30,3140.0,942.0
MAT-0210,P-001,3,10,0.0,0.0
MAT-0211,P-001,7,25,0.0,0.0
MAT-0212,P-001,2,20,0.0,0.0
MAT-0213,P-002,8,30,2799.9999999999995,839.9999999999999
MAT-0214,P-001,6,15,6430.0,964.5
MAT-0215,P-001,4,30,3200.0,960.0
MAT-0216,P-002,5,25,18419.6295668296,4604.9073917074
MAT-0217,P-002,6,50,3960.0,1980.0
MAT-0218,P-001,4,30,7350.042553191489,2205.0127659574464
MAT-0219,P-002,6,25,0.0,0.0
MAT-0220,P-001,2,20,7590.003029996846,1518.0006059993693
MAT-0221,P-001,8,25,0.0,0.0
MAT-0222,P-001,8,30,0.0,0.0
MAT-0223,P-002,6,25,0.0,0.0
MAT-0224,P-001,5,20,0.0,0.0
MAT-0225,P-001,3,30,0.0,0.0
MAT-0226,P-001,5,20,0.0,0.0
MAT-0227,P-001,6,25,0.0,0.0
MAT-0228,P-001,7,10,0.0,0.0
MAT-0229,P-001,5,5,3140.0345852446108,157.00172926223055
MAT-0230,P-001,6,15,6040.0,906.0
MAT-0231,P-001,7,25,2040.0,510.0
MAT-0232,P-001,8,30,4599.819866632026,1379.945959989608
MAT-0233,P-002,12,50,3960.0000000000005,1980.0000000000002
MAT-0234,P-001,5,10,2000.0,200.0
MAT-0235,P-002,6,25,19480.0,4870.0
MAT-0236,P-001,4,15,376585.8332435749,56487.87498653623
MAT-0237,P-001,8,5,2039.9999999999995,101.99999999999999
MAT-0238,P-001,6,10,0.0,0.0
MAT-0239,P-001,6,25,3030.0101010101007,757.5025252525252
MAT-0240,P-002,10,35,0.0,0.0
MAT-0241,P-002,5,40,0.0,0.0
MAT-0242,P-001,2,20,0.0,0.0
MAT-0243,P-001,4,30,0.0,0.0
MAT-0244,P-001,2,25,0.0,0.0
MAT-0245,P-002,6,50,0.0,0.0
MAT-0246,P-001,4,20,2330.0132437641732,466.00264875283466
MAT-0247,P-001,6,20,0.0,0.0
MAT-0248,P-001,4,10,0.0,0.0
MAT-0249,P-002,12,50,6500.0,3250.0
MAT-0250,P-001,2,20,5980.153846153846,1196.030769230769
MAT-0251,P-001,3,20,0.0,0.0
MAT-0252,P-002,9,25,0.0,0.0
MAT-0253,P-002,7,40,0.0,0.0
MAT-0254,P-002,4,20,12760.0,2552.0
MAT-0255,P-001,6,5,330.01420640727275,16.500710320363638
MAT-0256,P-001,4,25,4300.002528445006,1075.0006321112514
MAT-0257,P-002,8,50,2029.9476439790576,1014.9738219895288
MAT-0258,P-002,9,25,5860.1558441558445,1465.0389610389611
MAT-0259,P-001,7,25,3140.027402716921,785.0068506792303
MAT-0260,P-001,5,20,3740.0,748.0
MAT-0261,P-002,5,25,5044.595744680851,1261.1489361702127
MAT-0262,P-001,7,20,7350.0,1470.0
MAT-0263,P-001,5,30,6759.999999999999,2027.9999999999998
MAT-0264,P-001,7,10,7697.3688354852975,769.7368835485297
MAT-0265,P-001,8,10,7590.052426390384,759.0052426390384
MAT-0266,P-001,8,5,7590.00565544104,379.500282772052
MAT-0267,P-001,2,15,7595.062158564027,1139.259323784604
MAT-0268,P-002,12,50,7798.429858620485,3899.2149293102425
MAT-0269,P-001,8,25,2170.0040404040406,542.5010101010101
MAT-0270,P-002,5,35,9627.189177645203,3369.516212175821
MAT-0271,P-001,7,25,2000.0,500.0
MAT-0272,P-001,8,20,0.0,0.0
MAT-0273,P-001,8,30,4560.0,1368.0
MAT-0274,P-001,4,30,0.0,0.0
MAT-0275,P-001,7,15,0.0,0.0
MAT-0276,P-001,5,5,2040.0,102.0
MAT-0277,P-001,7,20,4510.004814636494,902.0009629272988
MAT-0278,P-002,9,25,2830.0110375275935,707.5027593818984
MAT-0279,P-002,3,35,7149.814814814815,2502.435185185185
MAT-0280,P-002,9,30,0.0,0.0
MAT-0281,P-002,3,20,12517.333905206553,2503.4667810413107
MAT-0282,P-003,8,35,0.0,0.0
MAT-0283,P-002,8,50,7909.529353068351,3954.7646765341756
MAT-0284,P-002,3,40,0.0,0.0
MAT-0285,P-001,3,5,2039.9999999999995,101.99999999999999
MAT-0286,P-002,6,25,18420.0,4605.0
MAT-0287,P-001,4,30,4732.075471698114,1419.622641509434
MAT-0288,P-001,2,15,0.0,0.0
MAT-0289,P-002,6,45,0.0,0.0
MAT-0290,P-002,6,25,14350.0,3587.5
MAT-0291,P-001,7,5,3140.0,157.0
MAT-0292,P-001,3,5,0.0,0.0
MAT-0293,P-003,5,25,0.0,0.0
MAT-0294,P-002,5,30,2870.0,861.0
MAT-0295,P-001,6,25,2090.046563780209,522.5116409450522
MAT-0296,P-001,2,20,2000.0,400.0
MAT-0297,P-001,2,15,0.0,0.0
MAT-0298,P-001,3,5,0.0,0.0
MAT-0299,P-001,7,5,8113.113207547169,405.65566037735846
MAT-0300,P-002,7,20,0.0,0.0
MAT-0301,P-001,8,30,0.0,0.0
MAT-0302,P-001,4,20,0.0,0.0
MAT-0303,P-001,5,10,0.0,0.0
MAT-0304,P-003,8,25,0.0,0.0
MAT-0305,P-001,2,15,0.0,0.0
MAT-0306,P-002,9,30,0.0,0.0
MAT-0307,P-002,10,50,0.0,0.0
MAT-0308,P-001,4,25,0.0,0.0
MAT-0309,P-001,5,15,0.0,0.0
MAT-0310,P-001,6,5,0.0,0.0
MAT-0311,P-002,7,20,0.0,0.0
MAT-0312,P-002,11,30,3962.526315789474,1188.7578947368422
MAT-0313,P-002,4,50,4026.000000000001,2013.0000000000007
MAT-0314,P-002,4,35,11950.001430031678,4182.500500511087
MAT-0315,P-001,5,15,3029.9992463299186,454.49988694948775
MAT-0316,P-001,4,5,7589.990323934384,379.4995161967192
MAT-0317,P-001,2,20,7351.428543505895,1470.285708701179
MAT-0318,P-001,2,20,4300.477050632279,860.0954101264558
MAT-0319,P-001,8,5,7430.223650970576,371.51118254852884
MAT-0320,P-001,4,25,4560.000000000001,1140.0000000000002
MAT-0321,P-001,3,25,7350.015005338555,1837.5037513346388
MAT-0322,P-001,4,30,9016.756303542254,2705.026891062676
MAT-0323,P-002,12,20,7148.919482853058,1429.7838965706117
MAT-0324,P-002,3,25,13580.12695276624,3395.03173819156
MAT-0325,P-001,6,25,4549.267544835448,1137.316886208862
MAT-0326,P-001,8,5,2879.223965278062,143.96119826390313
MAT-0327,P-001,8,15,3740.0309105206056,561.0046365780909
MAT-0328,P-002,6,40,9487.1180532145,3794.8472212858005
MAT-0329,P-001,8,25,6760.0,1690.0
MAT-0330,P-001,4,10,6760.0,676.0
MAT-0331,P-001,6,25,0.0,0.0
MAT-0332,P-002,6,25,930.1011984106631,232.52529960266577
MAT-0333,P-002,6,35,323885.00382049964,113359.75133717486
MAT-0334,P-001,4,15,2089.989202757288,313.49838041359317
MAT-0335,P-001,8,5,2000.0,100.0
MAT-0336,P-001,8,30,0.0,0.0
MAT-0337,P-002,9,30,7590.0,2277.0
MAT-0338,P-002,6,40,3960.0,1584.0
MAT-0339,P-002,7,50,7120.0,3560.0
MAT-0340,P-001,3,25,7590.004430802344,1897.501107700586
MAT-0341,P-001,8,25,1162117.8641624984,290529.4660406246
MAT-0342,P-001,3,25,7590.0,1897.5
MAT-0343,P-002,5,20,3960.0,792.0
MAT-0344,P-001,4,30,0.0,0.0
MAT-0345,P-001,6,5,0.0,0.0
MAT-0346,P-001,6,10,0.0,0.0
MAT-0347,P-002,6,50,0.0,0.0
MAT-0348,P-002,11,20,0.0,0.0
MAT-0349,P-001,8,25,0.0,0.0
MAT-0350,P-002,4,25,12485.116279069767,3121.279069767442
MAT-0351,P-001,2,5,3740.088981560243,187.00444907801216
MAT-0352,P-001,8,20,6760.0,1352.0
MAT-0353,P-001,6,15,4300.009787680949,645.0014681521424
MAT-0354,P-001,7,25,4560.0,1140.0
MAT-0355,P-001,7,25,0.0,0.0
MAT-0356,P-001,7,15,3740.021818070614,561.0032727105921
MAT-0357,P-001,5,30,200.0,60.0
MAT-0358,P-002,4,30,12735.217391304348,3820.5652173913045
MAT-0359,P-001,7,20,0.0,0.0
MAT-0360,P-002,11,25,0.0,0.0
MAT-0361,P-002,11,50,0.0,0.0
MAT-0362,P-002,4,20,3140.0,628.0
MAT-0363,P-001,7,5,330.0253611048286,16.50126805524143
MAT-0364,P-001,7,5,0.0,0.0
MAT-0365,P-001,5,15,0.0,0.0
MAT-0366,P-003,8,25,0.0,0.0
MAT-0367,P-001,4,20,4560.0,912.0
MAT-0368,P-002,7,35,3960.0,1386.0
MAT-0369,P-002,5,20,930.1177011494253,186.02354022988507
MAT-0370,P-002,3,30,0.0,0.0
MAT-0371,P-003,6,30,0.0,0.0
MAT-0372,P-001,8,10,0.0,0.0
MAT-0373,P-001,7,5,117250.0,5862.5
MAT-0374,P-001,3,25,6430.047420639818,1607.5118551599544
MAT-0375,P-002,5,40,3538.4411764705883,1415.3764705882352
MAT-0376,P-002,9,30,0.0,0.0
MAT-0377,P-002,11,50,9464.895456790244,4732.447728395122
MAT-0378,P-001,8,10,2799.9999999999995,279.99999999999994
MAT-0379,P-001,8,15,2995.4088952654233,449.31133428981354
MAT-0380,P-001,8,20,2089.9852875818146,417.99705751636293
MAT-0381,P-001,6,25,4510.0,1127.5
MAT-0382,P-001,6,10,7350.317341410781,735.0317341410782
MAT-0383,P-001,4,5,0.0,0.0
MAT-0384,P-001,8,30,7350.004623697395,2205.0013871092183
MAT-0385,P-001,8,5,6760.0,338.0
MAT-0386,P-001,2,10,2090.033565431527,209.00335654315273
MAT-0387,P-002,5,35,3740.0,1309.0
MAT-0388,P-001,4,5,7590.002276968604,379.5001138484302
MAT-0389,P-002,5,40,11764.91410788197,4705.965643152787
MAT-0390,P-001,7,30,4560.000000000001,1368.0000000000002
MAT-0391,P-001,3,30,3140.2727272727275,942.0818181818182
MAT-0392,P-001,2,20,2680.0,536.0
MAT-0393,P-001,5,25,3740.005471090941,935.0013677727352
MAT-0394,P-001,4,10,6466.949494949496,646.6949494949496
MAT-0395,P-001,7,25,0.0,0.0
MAT-0396,P-001,2,30,7590.010650967173,2277.003195290152
MAT-0397,P-002,9,20,3960.0,792.0
MAT-0398,P-001,3,25,2570.0090367568446,642.5022591892111
MAT-0399,P-001,3,15,3094.1233493508626,464.11850240262936
MAT-0400,P-001,5,5,2777.1202564736714,138.85601282368356
MAT-0401,P-001,8,25,0.0,0.0
MAT-0402,P-001,4,10,4561.6964285714275,456.1696428571428
MAT-0403,P-002,9,40,0.0,0.0
MAT-0404,P-001,4,15,0.0,0.0
MAT-0405,P-001,8,15,0.0,0.0
MAT-0406,P-001,7,20,0.0,0.0
MAT-0407,P-002,6,35,0.0,0.0
MAT-0408,P-001,4,20,0.0,0.0
MAT-0409,P-001,3,25,6483.222038043346,1620.8055095108366
MAT-0410,P-001,3,15,0.0,0.0
MAT-0411,P-001,3,20,0.0,0.0
MAT-0412,P-001,4,30,3740.0,1122.0
MAT-0413,P-001,7,20,2837.9698481826413,567.5939696365283
MAT-0414,P-002,6,30,929.9999999999999,278.99999999999994
MAT-0415,P-001,8,15,7589.996980931629,1138.4995471397444
MAT-0416,P-001,4,10,4593.073981273902,459.3073981273902
MAT-0417,P-001,4,25,2870.2697504149414,717.5674376037354
MAT-0418,P-001,4,10,6860.363636363636,686.0363636363635
MAT-0419,P-001,3,15,0.0,0.0
MAT-0420,P-001,5,15,0.0,0.0
MAT-0421,P-001,8,15,0.0,0.0
MAT-0422,P-002,7,50,0.0,0.0
MAT-0423,P-001,8,5,0.0,0.0
MAT-0424,P-001,7,30,0.0,0.0
MAT-0425,P-001,4,25,0.0,0.0
MAT-0426,P-002,5,40,7060.0,2824.0
MAT-0427,P-002,6,45,0.0,0.0
MAT-0428,P-001,2,25,4510.006516086323,1127.5016290215808
MAT-0429,P-002,3,35,10750.588235294117,3762.705882352941
MAT-0430,P-001,5,25,2930.738179907602,732.6845449769005
MAT-0431,P-002,6,35,0.0,0.0
